2025/01/13 09:49:07 fileService.go:35: Trace | FileChangeListeners: [0xc0001000a8]
2025/01/13 09:49:08 util.go:46: Trace | Read content: {"jsonrpc":"2.0","method":"textDocument/didOpen","params":{"textDocument":{"uri":"file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf","languageId":"text","version":1,"text":"dmf 1.0.0\nmodel \"edit\" version 1.0.0\n\n\npackage de.library.management {\n\n    // Basispaket für Medienverwaltung\n    // asdas d\n    // Das ist ein neuer Kommentar\n    package media {\n\n        // Basisstruktur für alle Medientypen\n        struct MediaItem {\n            arg string title;\n            arg string isbn;\n            arg date publishedDate;\n            arg double price;\n            arg int copyNumber;\n            func boolean isAvailable(int copyId);\n            arg double asd;\n        }\n\n        // Verschiedene Medientypen\n        enum MediaType {\n            BOOK(_);\n            EBOOK(_);\n            AUDIO_BOOK(_);\n            DVD(_);\n            MAGAZINE(_);\n            NEWSPAPER(_);\n        }\n\n        // Kategorisierung der Medien\n        enum Category {\n            arg string name;\n            FICTION(1, \"Belletristik\");\n            NON_FICTION(2, \"Sachbuch\");\n            CHILDREN(3, \"Kinderbuch\");\n            SCIENCE(4, \"Wissenschaft\");\n            HISTORY(5, \"Geschichte\");\n        }\n\n        // Detaillierte Buchinformationen\n        entity Book extends MediaItem{\n            arg string author;\n            // sad\n            ref .Category category;\n            ref .MediaType type;\n            // asd\n            arg int pageCount;\n            arg string publisher;\n            arg string language;\n\n            identifier(isbn, copyNumber);\n        }\n\n        // Verwaltung von Zeitschriften\n        entity Magazine extends MediaItem {\n            arg int issueNumber;\n            arg string publisher;\n            arg boolean isSubscription;\n            arg date validUntil;\n\n            identifier(isbn, issueNumber);\n        }\n    }\n\n    // Benutzerverwaltung\n    package users {\n        // Adressinformationen\n        struct Address {\n            arg string street;\n            arg string houseNumber;\n            arg string postalCode;\n            arg string city;\n            arg string country;\n        }\n        // Verschiedene Mitgliedsarten\n        enum MembershipType {\n            arg int preis;\n            arg date startdatum;\n            STANDARD(1, 10, D2024-01-01);\n            PLUS(4, 15, D2024-01-01);\n            PREMIUM(2, 20, D2024-01-01);\n            STUDENT(3, 15, D2024-01-01);\n        }\n\n        // Benutzerstatus\n        enum UserStatus {\n            ACTIVE(_);\n            SUSPENDED(_);\n            EXPIRED(_);\n            UNVERIFED(_);\n        }\n\n        // Benutzerentität\n        entity User {\n            arg string firstName;\n            arg string lastName;\n            arg date dateOfBirth;\n            arg string email;\n            ref .Address address;\n            ref .MembershipType membershipType;\n            ref .UserStatus status;\n            arg date memberSince;\n            arg date membershipExpiry;\n\n            identifier(email, firstName);\n        }\n    }\n}\n"}}}
2025/01/13 09:49:08 server.go:106: INFO  | Handle Method: textDocument/didOpen 
2025/01/13 09:49:08 fileService.go:88: Trace | Create FileHandle for file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf
2025/01/13 09:49:08 util.go:62: INFO  | Sending message: {"jsonrpc":"2.0","method":"textDocument/publishDiagnostics","params":{"uri":"file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf","version":1,"diagnostics":[]}}
2025/01/13 09:49:08 diagsnosticsService.go:102: INFO  | Published Diagnostics: {2.0 [] textDocument/publishDiagnostics [123 34 117 114 105 34 58 34 102 105 108 101 58 47 47 47 104 111 109 101 47 97 108 101 120 47 76 111 99 97 108 78 65 83 47 66 97 99 104 101 108 111 114 97 114 98 101 105 116 47 68 77 70 47 105 110 116 101 108 108 105 106 84 101 115 116 47 101 100 105 116 45 97 102 116 101 114 46 100 109 102 34 44 34 118 101 114 115 105 111 110 34 58 49 44 34 100 105 97 103 110 111 115 116 105 99 115 34 58 91 93 125] <nil> <nil>}
2025/01/13 09:49:08 util.go:36: Trace | Read Content-Length: 1166 from Content-Length: 1166
2025/01/13 09:49:08 util.go:46: Trace | Read content: {"jsonrpc":"2.0","method":"textDocument/didOpen","params":{"textDocument":{"uri":"file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/test.dmf","languageId":"text","version":1,"text":"dmf 1.0.0\nmodel \"dp_success\" version 0.0.0\n\npackage de.alex.brand {\n    // Comment over other\n    package other {\n\n        struct Test{\n\n\n        }\n\n        // Kommentar von Ort\n        enum Ort {\n\n            VOR_HAUS(_);\n        }\n\n        //Kommentar über Person\n        entity Person  {\n            arg int i;\n            arg date d;\n            arg string me;\n            identifier(i, me);\n        }\n\n        interface Intes  {\n\n        }\n\n\n\n    }\n\n\n   package rekur {\n        // Das ist das Struct One\n        struct One  {\n        }\n\n\n        entity OneE {\n            // Kommentar\n            // Hallo\n            arg int i;\n            arg string me;\n            // Kommentar von One\n            ref One o;\n           identifier(i, me, o);\n        }\n        entity TwoE extends .OneE {\n           identifier(i, me);\n        }\n    }\n    package grund {\n         interface IGrund {\n\n         }\n    }\n}"}}}
2025/01/13 09:49:08 server.go:106: INFO  | Handle Method: textDocument/didOpen 
2025/01/13 09:49:08 fileService.go:88: Trace | Create FileHandle for file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/test.dmf
2025/01/13 09:49:08 util.go:62: INFO  | Sending message: {"jsonrpc":"2.0","method":"textDocument/publishDiagnostics","params":{"uri":"file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/test.dmf","version":1,"diagnostics":[]}}
2025/01/13 09:49:08 diagsnosticsService.go:102: INFO  | Published Diagnostics: {2.0 [] textDocument/publishDiagnostics [123 34 117 114 105 34 58 34 102 105 108 101 58 47 47 47 104 111 109 101 47 97 108 101 120 47 76 111 99 97 108 78 65 83 47 66 97 99 104 101 108 111 114 97 114 98 101 105 116 47 68 77 70 47 105 110 116 101 108 108 105 106 84 101 115 116 47 116 101 115 116 46 100 109 102 34 44 34 118 101 114 115 105 111 110 34 58 49 44 34 100 105 97 103 110 111 115 116 105 99 115 34 58 91 93 125] <nil> <nil>}
2025/01/13 09:49:08 util.go:36: Trace | Read Content-Length: 173 from Content-Length: 173
2025/01/13 09:49:08 util.go:46: Trace | Read content: {"jsonrpc":"2.0","id":"2","method":"textDocument/foldingRange","params":{"textDocument":{"uri":"file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf"}}}
2025/01/13 09:49:08 server.go:106: INFO  | Handle Method: textDocument/foldingRange 
2025/01/13 09:49:08 foldingService.go:196: Trace | Found 13 Comment Ranges
2025/01/13 09:49:08 util.go:62: INFO  | Sending message: {"jsonrpc":"2.0","id":"2","result":[{"startLine":68,"startCharacter":19,"endLine":109,"endCharacter":4},{"startLine":78,"startCharacter":29,"endLine":85,"endCharacter":8},{"startLine":4,"startCharacter":31,"endLine":110,"endCharacter":0},{"startLine":23,"startCharacter":24,"endLine":30,"endCharacter":8},{"startLine":33,"startCharacter":23,"endLine":40,"endCharacter":8},{"startLine":43,"startCharacter":38,"endLine":54,"endCharacter":8},{"startLine":88,"startCharacter":25,"endLine":93,"endCharacter":8},{"startLine":96,"startCharacter":21,"endLine":108,"endCharacter":8},{"startLine":9,"startCharacter":19,"endLine":65,"endCharacter":4},{"startLine":12,"startCharacter":26,"endLine":20,"endCharacter":8},{"startLine":57,"startCharacter":43,"endLine":64,"endCharacter":8},{"startLine":70,"startCharacter":24,"endLine":76,"endCharacter":8},{"startLine":6,"startCharacter":6,"endLine":8,"endCharacter":34,"kind":"comment"},{"startLine":11,"startCharacter":1,"endLine":11,"endCharacter":38,"kind":"comment"},{"startLine":22,"startCharacter":1,"endLine":22,"endCharacter":27,"kind":"comment"},{"startLine":32,"startCharacter":1,"endLine":32,"endCharacter":29,"kind":"comment"},{"startLine":42,"startCharacter":1,"endLine":42,"endCharacter":33,"kind":"comment"},{"startLine":45,"startCharacter":1,"endLine":45,"endCharacter":6,"kind":"comment"},{"startLine":48,"startCharacter":1,"endLine":48,"endCharacter":6,"kind":"comment"},{"startLine":56,"startCharacter":1,"endLine":56,"endCharacter":31,"kind":"comment"},{"startLine":67,"startCharacter":1,"endLine":67,"endCharacter":21,"kind":"comment"},{"startLine":69,"startCharacter":1,"endLine":69,"endCharacter":22,"kind":"comment"},{"startLine":77,"startCharacter":1,"endLine":77,"endCharacter":30,"kind":"comment"},{"startLine":87,"startCharacter":1,"endLine":87,"endCharacter":17,"kind":"comment"},{"startLine":95,"startCharacter":1,"endLine":95,"endCharacter":19,"kind":"comment"}]}
2025/01/13 09:49:08 foldingService.go:90: Trace | Finished Folding Range
2025/01/13 09:49:33 util.go:36: Trace | Read Content-Length: 204 from Content-Length: 204
2025/01/13 09:49:33 util.go:46: Trace | Read content: {"jsonrpc":"2.0","id":"3","method":"textDocument/hover","params":{"textDocument":{"uri":"file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf"},"position":{"line":39,"character":14}}}
2025/01/13 09:49:33 server.go:106: INFO  | Handle Method: textDocument/hover 
2025/01/13 09:49:33 hoverService.go:106: Trace | Start Get File Content
2025/01/13 09:49:33 hoverService.go:112: %!S(string=Trace | )tart Find Node
2025/01/13 09:49:33 hoverService.go:155: Trace | Start Render Hover Text Konstante Markdown
2025/01/13 09:49:33 hoverService.go:372: Trace | Index 0 Argumente: 1
2025/01/13 09:49:33 hoverService.go:373: Trace | Value: {ModelElement:{Kommentar:<nil> Node:0xc0000f4e80} Ignored:false Value:5}
2025/01/13 09:49:33 hoverService.go:372: Trace | Index 1 Argumente: 1
2025/01/13 09:49:33 hoverService.go:373: Trace | Value: {ModelElement:{Kommentar:<nil> Node:0xc0000f4f80} Value:Geschichte}
2025/01/13 09:49:33 util.go:62: INFO  | Sending message: {"jsonrpc":"2.0","id":"3","result":{"contents":{"kind":"markdown","value":"\n#### HISTORY\n###### In [Category](file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf#L34)\n\n\n**[Index]()**: 5\u003cbr\u003e\n**[name](file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf#L35)**: Geschichte\u003cbr\u003e\n\n"},"range":{"start":{"line":39,"character":14},"end":{"line":39,"character":14}}}}
2025/01/13 09:49:33 hoverService.go:136: Trace | Finished Hover with Content: 
#### HISTORY
###### In [Category](file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf#L34)


**[Index]()**: 5<br>
**[name](file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf#L35)**: Geschichte<br>


2025/01/13 09:50:19 fileService.go:35: Trace | FileChangeListeners: [0xc000134138]
2025/01/13 09:50:19 util.go:36: Trace | Read Content-Length: 3626 from Content-Length: 3626
2025/01/13 09:50:19 util.go:46: Trace | Read content: {"jsonrpc":"2.0","id":"1","method":"initialize","params":{"processId":25904,"rootPath":"C:/Code/DMF/intellijTest","rootUri":"file:///C:/Code/DMF/intellijTest","initializationOptions":{},"capabilities":{"workspace":{"applyEdit":true,"workspaceEdit":{"documentChanges":true,"resourceOperations":["create","delete","rename"]},"didChangeConfiguration":{"dynamicRegistration":true},"didChangeWatchedFiles":{"dynamicRegistration":true},"symbol":{},"executeCommand":{"dynamicRegistration":true},"workspaceFolders":true,"configuration":true,"semanticTokens":{"refreshSupport":true},"codeLens":{"refreshSupport":true},"fileOperations":{"didRename":true,"willRename":true,"dynamicRegistration":true},"inlayHint":{"refreshSupport":true}},"textDocument":{"synchronization":{"willSave":true,"willSaveWaitUntil":true,"didSave":true},"completion":{"completionItem":{"snippetSupport":true,"documentationFormat":["markdown","plaintext"],"deprecatedSupport":true,"resolveSupport":{"properties":["documentation","detail","additionalTextEdits"]},"insertTextModeSupport":{"valueSet":[1,2]},"labelDetailsSupport":true},"completionList":{"itemDefaults":["editRange"]},"dynamicRegistration":true},"hover":{"contentFormat":["markdown","plaintext"],"dynamicRegistration":true},"signatureHelp":{"signatureInformation":{"parameterInformation":{"labelOffsetSupport":true}},"dynamicRegistration":true},"references":{"dynamicRegistration":true},"documentHighlight":{"dynamicRegistration":true},"documentSymbol":{"symbolKind":{"valueSet":[18,17,5,14,9,10,22,24,8,1,12,11,20,6,2,3,21,16,19,25,4,7,15,23,26,13]},"hierarchicalDocumentSymbolSupport":true,"dynamicRegistration":true},"formatting":{"dynamicRegistration":true},"rangeFormatting":{"dynamicRegistration":true},"declaration":{"linkSupport":true,"dynamicRegistration":true},"definition":{"linkSupport":true,"dynamicRegistration":true},"typeDefinition":{"linkSupport":true,"dynamicRegistration":true},"implementation":{"linkSupport":true,"dynamicRegistration":true},"codeAction":{"codeActionLiteralSupport":{"codeActionKind":{"valueSet":["quickfix","refactor","refactor.extract","refactor.inline","refactor.rewrite","source","source.organizeImports"]}},"dataSupport":true,"resolveSupport":{"properties":["edit"]},"dynamicRegistration":true},"codeLens":{"dynamicRegistration":true},"documentLink":{"dynamicRegistration":true},"colorProvider":{"dynamicRegistration":true},"rename":{"prepareSupport":true,"dynamicRegistration":true},"publishDiagnostics":{"relatedInformation":true,"tagSupport":{"valueSet":[1,2]},"codeDescriptionSupport":true,"dataSupport":true},"foldingRange":{"dynamicRegistration":true},"typeHierarchy":{"dynamicRegistration":true},"callHierarchy":{"dynamicRegistration":true},"semanticTokens":{"requests":{"range":false,"full":true},"tokenTypes":["namespace","type","class","enum","interface","struct","typeParameter","parameter","variable","property","enumMember","event","function","method","macro","keyword","modifier","comment","string","number","regexp","operator","decorator","label"],"tokenModifiers":["declaration","definition","readonly","static"],"formats":["relative"],"multilineTokenSupport":true,"serverCancelSupport":true,"dynamicRegistration":true},"inlayHint":{"dynamicRegistration":true}},"window":{"workDoneProgress":true,"showMessage":{},"showDocument":{"support":true}},"general":{"staleRequestSupport":{"cancel":true,"retryOnContentModified":[]},"positionEncodings":["utf-16"]}},"clientInfo":{"name":"IntelliJ","version":"IntelliJ IDEA (build IU-241.15989.150)"},"trace":"off","workspaceFolders":[{"uri":"file:///C:/Code/DMF/intellijTest","name":"intellijTest"}]}}
2025/01/13 09:50:19 util.go:62: INFO  | Sending message: {"jsonrpc":"2.0","id":"1","result":{"capabilities":{"textDocumentSync":{"openClose":true,"change":2},"hoverProvider":true,"declarationProvider":true,"referencesProvider":true,"foldingRangeProvider":true},"serverInfo":{"name":"DMF LSP Server","version":"0.0.1"}}}
2025/01/13 09:50:19 server.go:150: ERROR | Error While Reading initialized Message: &{%!e(string=EOF)}
2025/01/13 09:50:19 util.go:36: Trace | Read Content-Length: 262 from Content-Length: 262
2025/01/13 09:50:19 util.go:46: Trace | Read content: {"jsonrpc":"2.0","id":"1","result":{"capabilities":{"textDocumentSync":{"openClose":true,"change":2},"hoverProvider":true,"declarationProvider":true,"referencesProvider":true,"foldingRangeProvider":true},"serverInfo":{"name":"DMF LSP Server","version":"0.0.1"}}}
2025/01/13 09:50:19 util.go:36: Trace | Read Content-Length: 3171 from Content-Length: 3171
2025/01/13 09:50:19 util.go:46: Trace | Read content: {"jsonrpc":"2.0","method":"textDocument/didOpen","params":{"textDocument":{"uri":"file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf","languageId":"text","version":1,"text":"dmf 1.0.0\nmodel \"edit\" version 1.0.0\n\n\npackage de.library.management {\n\n    // Basispaket für Medienverwaltung\n    // asdas d\n    // Das ist ein neuer Kommentar\n    package media {\n\n        // Basisstruktur für alle Medientypen\n        struct MediaItem {\n            arg string title;\n            arg string isbn;\n            arg date publishedDate;\n            arg double price;\n            arg int copyNumber;\n            func boolean isAvailable(int copyId);\n            arg double asd;\n        }\n\n        // Verschiedene Medientypen\n        enum MediaType {\n            BOOK(_);\n            EBOOK(_);\n            AUDIO_BOOK(_);\n            DVD(_);\n            MAGAZINE(_);\n            NEWSPAPER(_);\n        }\n\n        // Kategorisierung der Medien\n        enum Category {\n            arg string name;\n            FICTION(1, \"Belletristik\");\n            NON_FICTION(2, \"Sachbuch\");\n            CHILDREN(3, \"Kinderbuch\");\n            SCIENCE(4, \"Wissenschaft\");\n            HISTORY(5, \"Geschichte\");\n        }\n\n        // Detaillierte Buchinformationen\n        entity Book extends MediaItem{\n            arg string author;\n            // sad\n            ref .Category category;\n            ref .MediaType type;\n            // asd\n            arg int pageCount;\n            arg string publisher;\n            arg string language;\n\n            identifier(isbn, copyNumber);\n        }\n\n        // Verwaltung von Zeitschriften\n        entity Magazine extends MediaItem {\n            arg int issueNumber;\n            arg string publisher;\n            arg boolean isSubscription;\n            arg date validUntil;\n\n            identifier(isbn, issueNumber);\n        }\n    }\n\n    // Benutzerverwaltung\n    package users {\n\n        // Adressinformationen\n        struct Address {\n            arg string street;\n            arg string houseNumber;\n            arg string postalCode;\n            arg string city;\n            arg string country;\n        }\n\n        // Verschiedene Mitgliedsarten\n        enum MembershipType {\n            arg int preis;\n            arg date startdatum;\n            STANDARD(1, 10, D2024-01-01);\n            PLUS(4, 15, D2024-01-01);\n            PREMIUM(2, 20, D2024-01-01);\n            STUDENT(3, 15, D2024-01-01);\n        }\n\n        // Benutzerstatus\n        enum UserStatus {\n            ACTIVE(_);\n            SUSPENDED(_);\n            EXPIRED(_);\n            UNVERIFED(_);\n        }\n\n        // Benutzerentität\n        entity User {\n            arg string firstName;\n            arg string lastName;\n            arg date dateOfBirth;\n            arg string email;\n            ref .Address address;\n            ref .MembershipType membershipType;\n            ref .UserStatus status;\n            arg date memberSince;\n            arg date membershipExpiry;\n\n            identifier(email, firstName);\n        }\n    }\n}\n"}}}
2025/01/13 09:50:19 server.go:106: INFO  | Handle Method: textDocument/didOpen 
2025/01/13 09:50:19 fileService.go:88: Trace | Create FileHandle for file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf
2025/01/13 09:50:19 util.go:62: INFO  | Sending message: {"jsonrpc":"2.0","method":"textDocument/publishDiagnostics","params":{"uri":"file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf","version":1,"diagnostics":[]}}
2025/01/13 09:50:19 diagsnosticsService.go:102: INFO  | Published Diagnostics: {2.0 [] textDocument/publishDiagnostics [123 34 117 114 105 34 58 34 102 105 108 101 58 47 47 47 104 111 109 101 47 97 108 101 120 47 76 111 99 97 108 78 65 83 47 66 97 99 104 101 108 111 114 97 114 98 101 105 116 47 68 77 70 47 105 110 116 101 108 108 105 106 84 101 115 116 47 101 100 105 116 45 97 102 116 101 114 46 100 109 102 34 44 34 118 101 114 115 105 111 110 34 58 49 44 34 100 105 97 103 110 111 115 116 105 99 115 34 58 91 93 125] <nil> <nil>}
2025/01/13 09:50:19 util.go:36: Trace | Read Content-Length: 182 from Content-Length: 182
2025/01/13 09:50:19 util.go:46: Trace | Read content: {"jsonrpc":"2.0","method":"textDocument/publishDiagnostics","params":{"uri":"file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf","version":1,"diagnostics":[]}}
2025/01/13 09:50:19 util.go:36: Trace | Read Content-Length: 204 from Content-Length: 204
2025/01/13 09:50:19 util.go:46: Trace | Read content: {"jsonrpc":"2.0","id":"3","method":"textDocument/hover","params":{"textDocument":{"uri":"file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf"},"position":{"line":39,"character":14}}}
2025/01/13 09:50:19 server.go:106: INFO  | Handle Method: textDocument/hover 
2025/01/13 09:50:19 hoverService.go:106: Trace | Start Get File Content
2025/01/13 09:50:19 hoverService.go:112: Trace | Start Find Node
2025/01/13 09:50:19 hoverService.go:155: Trace | Start Render Hover Text Konstante Markdown
2025/01/13 09:50:19 hoverService.go:372: Trace | Index 0 Argumente: 1
2025/01/13 09:50:19 hoverService.go:373: Trace | Value: {ModelElement:{Kommentar:<nil> Node:0xc0001df3e0} Ignored:false Value:5}
2025/01/13 09:50:19 hoverService.go:372: Trace | Index 1 Argumente: 1
2025/01/13 09:50:19 hoverService.go:373: Trace | Value: {ModelElement:{Kommentar:<nil> Node:0xc0001df4e0} Value:Geschichte}
2025/01/13 09:50:19 util.go:62: INFO  | Sending message: {"jsonrpc":"2.0","id":"3","result":{"contents":{"kind":"markdown","value":"\n#### HISTORY\n###### In [Category](file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf#L34)\n\n\n**[Index]()**: 5\u003cbr\u003e\n**[name](file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf#L35)**: Geschichte\u003cbr\u003e\n\n"},"range":{"start":{"line":39,"character":14},"end":{"line":39,"character":14}}}}
2025/01/13 09:50:19 hoverService.go:136: Trace | Finished Hover with Content: 
#### HISTORY
###### In [Category](file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf#L34)


**[Index]()**: 5<br>
**[name](file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf#L35)**: Geschichte<br>


2025/01/13 09:50:19 util.go:36: Trace | Read Content-Length: 429 from Content-Length: 429
2025/01/13 09:50:19 util.go:46: Trace | Read content: {"jsonrpc":"2.0","id":"3","result":{"contents":{"kind":"markdown","value":"\n#### HISTORY\n###### In [Category](file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf#L34)\n\n\n**[Index]()**: 5\u003cbr\u003e\n**[name](file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf#L35)**: Geschichte\u003cbr\u003e\n\n"},"range":{"start":{"line":39,"character":14},"end":{"line":39,"character":14}}}}
2025/01/13 09:50:31 util.go:36: Trace | Read Content-Length: 204 from Content-Length: 204
2025/01/13 09:50:31 util.go:46: Trace | Read content: {"jsonrpc":"2.0","id":"4","method":"textDocument/hover","params":{"textDocument":{"uri":"file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf"},"position":{"line":46,"character":22}}}
2025/01/13 09:50:31 server.go:106: INFO  | Handle Method: textDocument/hover 
2025/01/13 09:50:31 hoverService.go:106: Trace | Start Get File Content
2025/01/13 09:50:31 hoverService.go:112: %!S(string=Trace | )tart Find Node
2025/01/13 09:50:31 util.go:62: INFO  | Sending message: {"jsonrpc":"2.0","id":"4","result":{"contents":{"kind":"markdown","value":"\n#### [Category](file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf#L34 \"Kategorisierung der MedienEnum Category in Package de.library.management.media\") category\nsad\n\n\n"},"range":{"start":{"line":46,"character":22},"end":{"line":46,"character":22}}}}
2025/01/13 09:50:31 hoverService.go:136: Trace | Finished Hover with Content: 
#### [Category](file:///home/alex/LocalNAS/Bachelorarbeit/DMF/intellijTest/edit-after.dmf#L34 "Kategorisierung der MedienEnum Category in Package de.library.management.media") category
sad



2025/01/13 09:51:16 fileService.go:35: Trace | FileChangeListeners: [0xc000012150]
2025/01/13 09:51:16 util.go:36: Trace | Read Content-Length: 3626 from Content-Length: 3626
